Team,GP,S,SOG,SOP,SOFF,SAB,POSS,C,CS,P,PC,PL,PLC,CK,OFF
Argentina,7,102,49,0,36,17,57,117,22,3964,3649,193,71,39,25
Brazil,5,88,44,1,24,19,56,117,23,2792,2586,114,53,37,8
France,7,93,36,0,30,30,52,157,41,3255,2971,213,74,38,15
England,5,58,28,1,19,11,63,100,27,2758,2560,157,68,25,5
Croatia,7,76,27,0,32,16,54,164,27,3858,3503,195,82,30,11
Portugal,5,61,26,0,17,18,61,108,23,2555,2356,175,59,28,14
Germany,3,66,25,0,28,12,59,75,25,1667,1531,76,40,25,12
South Korea,4,47,18,0,14,15,48,95,18,1611,1474,150,55,24,7
Netherlands,5,48,17,1,17,14,52,83,17,2513,2269,129,49,19,7
Spain,4,50,17,0,16,16,76,78,16,3492,3300,76,33,21,11
Mexico,3,44,16,0,12,15,54,79,15,1079,976,101,37,16,13
Morocco,7,53,16,1,26,11,39,86,17,2294,2036,234,95,12,19
Cameroon,3,24,14,0,6,4,43,54,7,975,855,133,57,12,2
Senegal,4,51,14,0,22,15,45,69,16,1335,1179,122,38,22,8
Japan,4,42,13,0,13,14,36,67,15,1411,1255,106,27,19,9
Switzerland,4,35,13,0,9,13,49,68,14,1698,1527,101,33,20,6
United States,4,44,13,0,17,13,53,105,16,1879,1709,95,41,22,5
Denmark,3,35,12,0,14,9,60,76,16,1622,1484,99,46,21,5
Ecuador,3,25,12,0,7,6,53,53,15,1160,1043,99,31,11,7
Serbia,3,33,12,1,15,6,50,67,14,1164,1024,92,25,9,4
Belgium,3,33,10,0,13,10,56,57,13,1608,1485,82,28,17,3
Ghana,3,24,10,0,10,3,42,49,8,985,879,89,17,13,4
Iran,3,33,10,1,13,6,38,48,6,838,693,115,26,8,6
Australia,4,23,8,0,8,7,38,65,13,1330,1116,153,70,8,1
Poland,4,29,8,1,11,10,37,51,13,1157,1014,175,73,11,1
Tunisia,3,31,8,0,12,10,45,59,11,1023,879,109,34,21,7
Uruguay,3,30,8,0,18,4,48,49,14,1175,1020,89,39,8,3
Qatar,3,19,7,1,12,0,44,46,11,1074,969,106,33,9,7
Saudi Arabia,3,27,7,1,16,3,45,47,10,919,772,101,33,8,3
Wales,3,19,6,0,8,5,45,44,10,1044,907,135,57,6,4
Canada,3,35,5,1,19,11,52,58,19,1312,1197,89,35,12,8
Costa Rica,3,9,4,0,2,3,31,21,4,841,748,110,30,1,13
