Team,GP,GF,KG,HG,1G,2G,GC,1GC,2GC,A,PK,PKG,YC,RC,YRC
France,7,16,14,4,5,10,8,3,4,12,2,2,8,0,0
Argentina,7,15,23,0,7,7,8,0,7,8,5,4,17,0,0
England,5,13,12,1,5,8,4,1,3,11,2,1,1,0,0
Portugal,5,12,11,1,3,9,6,2,4,10,2,2,6,0,0
Netherlands,5,10,11,2,4,6,4,1,3,8,0,0,11,0,1
Spain,4,9,8,1,4,5,3,0,3,5,1,1,2,0,0
Brazil,5,8,10,0,4,3,3,0,2,6,1,1,6,0,0
Croatia,7,8,13,2,4,3,7,5,1,8,0,0,8,0,0
Germany,3,6,5,1,2,4,5,0,5,5,1,1,3,0,0
Morocco,7,6,7,2,4,2,5,4,1,4,0,0,8,0,1
Ghana,3,5,3,2,2,3,7,2,5,2,1,0,8,0,0
Japan,4,5,6,0,1,4,4,2,2,4,0,0,6,0,0
Senegal,4,5,4,1,2,3,7,2,5,2,1,1,7,0,0
Serbia,3,5,3,2,4,1,8,3,5,4,0,0,12,0,0
South Korea,4,5,3,2,1,4,8,7,1,3,0,0,6,0,0
Switzerland,4,5,5,0,2,3,9,4,5,4,0,0,9,0,0
Australia,4,4,2,1,2,2,6,3,3,2,0,0,7,0,0
Cameroon,3,4,3,1,1,3,4,2,2,3,0,0,7,0,1
Ecuador,3,4,3,1,2,2,3,2,1,2,1,1,3,0,0
Iran,3,4,4,0,0,4,7,4,3,2,1,1,7,0,0
Costa Rica,3,3,2,0,0,3,11,4,7,1,0,0,6,0,0
Poland,4,3,3,0,1,2,5,1,4,1,3,1,7,0,0
Saudi Arabia,3,3,3,0,0,3,5,2,3,2,1,0,14,0,0
United States,4,3,3,0,2,1,4,2,2,3,0,0,5,0,0
Canada,3,2,0,1,2,0,7,5,2,1,1,0,8,0,0
Mexico,3,2,2,0,0,2,3,0,3,1,0,0,7,0,0
Uruguay,3,2,1,1,2,0,2,0,2,1,0,0,8,0,0
Belgium,3,1,1,0,1,0,2,0,2,1,0,0,5,0,0
Denmark,3,1,0,1,0,1,3,0,3,1,0,0,5,0,0
Qatar,3,1,0,1,0,1,7,4,3,1,0,0,7,0,0
Tunisia,3,1,1,0,0,1,1,1,0,1,0,0,5,0,0
Wales,3,1,1,0,0,1,6,1,5,0,1,1,5,1,0
